ˈwaɪz.li	wisely
tʌtʃ	touch
ˈmʌŋ.ki	monkey
ˈhɑːrdli	hardly
ˈpænl	panel
ɡreɪt	great,grate
ˈtʃeəmən	chairman
kəʊˈhɪə.rəns	coherence
məˈræl.ə.ti	morality
θɔː	thaw
ˈmɪd.waɪf	midwife
ˈjuːniən	union
kənˈfeʃ.ən	confession
ˈsɪz.ər	scissor
ˈfjuː.taɪl	futile
ˌɪntəˈvenʃn	intervention
ˈspaɪ.nəl	spinal
sent	sent,cent,scent
ˈhedˌkwɔːr.t̬ɚ	headquarter
dreɪn	drain
ˈhɒv.ər	hover
ɪkˈspʌl.ʃən	expulsion
nɪə(r)	near
bɪˈɡɪnɪŋ	beginning
ɪɡˈzɔː.stɪŋ	exhausting
ˈdaɪəri	diary
ˈdeɪndʒərəs	dangerous
ˈɑːmlɪs	armless
ˈprɑːpər	proper
ˈbʊk.wɜːm	bookworm
ɪr	ear
ɪnˈʃɔː(r)	insure,ensure
ˈstætʃ.uːt	statute
prəˈfesə(r)	professor
ˌɪn.təˈmiː.di.ət	intermediate
ˈpiːt.sə	pizza
ˈɡærɑːdʒ	garage
ˈiːstərn	eastern
ˈæt.ɪk	attic
ˈɪn.lənd	inland
ˈstraɪkɪŋ	striking
θrɪft	thrift
snɪk	snick
ˈevribɒdi	everybody
dɪˈzɜːrtɪd	deserted
ˈʌ.t̬ɚ	utter
ˈkɒm.prə.maɪz	compromise
ˈæd.vɜːb	adverb
bəʊn	bone
skəʊp	scope
beər	bare
hæm	ham
dɪˈluːd	delude
ˈvaɪə.leɪt	violate
ˈlæk.ər	lacquer
wen	when
səˈspekt	suspect
ˈhændˌraɪ.tɪŋ	handwriting
dɪˈsiːv	deceive
lɝːk	lurk
ˈtæn.dʒə.bl̩	tangible
ˈsɪm.pə.θaɪz	sympathize
ˈspɪrɪt	spirit
sledʒ	sledge
kræmp	cramp
əˈten.ju.eɪt	attenuate
ˈblɪs.fəl	blissful
əbˈtruː.sɪv	obtrusive
kəˈnekʃn	connection
muːd	mood
ˈsuːpəmɑːkɪt	supermarket
ˈɔːɡəst	August
ˈhem.ɪ.sfɪər	hemisphere
ˈhʌŋ.ɡər	hunger
ˈpiː.kɒk	peacock
prɒp	prop
əˈhed	ahead
frɪz	frizz
ˈæftər	after
ʃɒt	shot
ˈpreɡ.nən.si	pregnancy
rɪˈzɔːrt	resort
ˈtrem.bl̩	tremble
skəʊld	scold
mɔː(r)	more
ɪˈmæk.jʊ.lət	immaculate
ˈbɑːtl	bottle
ˈɔːrɪndʒ	orange
pəʊk	poke
dɪˈdʒen.ə.reɪt	degenerate
ˈhæpən	happen
dɪˈkriːs	decrease
ɪnˈdʒiː.ni.əs	ingenious
ˈzəʊ.di.æk	zodiac
ˈbæriə(r)	barrier
ˈmɔːrnɪŋ	morning
brʌʃ	brush
ˈpæn.ɪk	panic
ˈfɒrən	foreign
kæʃˈɪər	cashier
ˈskwɪr.əl	squirrel
ˈdʒuː.əl	jewel
ʃɑːp	shop,sharp
ˈpɜː.dʒər.i	perjury
ˈem.bləm	emblem
ˈskɪp.ər	skipper
ˈmʌt.ər	mutter
nɔː(r)	nor
prɪnt	print
kənˈfɜːrm	confirm
ˈbʌs.l̩	bustle
ˈsæd.l̩	saddle
ˈmiː.ɡreɪn	migraine
ɡlɑːs	glass,gloss
kəˈlaɪ.də.skəʊp	kaleidoscope
ˈpɑːrləmənt	parliament
wɪðˈdrɔː	withdraw
ˈdes.pər.ət.li	desperately
kəˈrʌp.ʃən	corruption
dɪˈstɪŋk.ʃən	distinction
ˈpleɪər	player
zəʊn	zone
ˈkæl.ɪn.dər	calendar
ˌentəˈteɪnmənt	entertainment
ˈkɔːt.haʊs	courthouse
dɪˈten.ʃən	detention
ˈhɒr.ə.skəʊp	horoscope
seɪv	save
ˈkæt.ə.rækt	cataract
ˈmjʊr.əl	mural
ˌsʌbˈkɒn.ʃəs	subconscious
ɪkˈspləʊd	explode
ˈfrɑː.sti	frosty
ˈkæt.ə.pɪl.ər	caterpillar
kənˈsaɪs	concise
məʊd	mode
ɪkˈstenʃn	extension
rɪˈfreʃ.ɪŋ	refreshing
ˈkwɒr.i	quarry
pɔːr	poor,pour,pore
ˈpɒs.tʃər	posture
rʊk	rook
koʊd	code
ˈdʒep.ə.daɪz	jeopardize
ˈkɒntekst	context
heɪz	haze
ˈfɜː.vənt	fervent
laʊs	louse
ˈfɪfti	fifty
ɑːˈtɪk.jʊ.lət	articulate
əʊˈeɪ.sɪs	oasis
jelp	yelp
ˈlɪs.ən.ər	listener
rɪˈdʒekt	reject
faʊl	foul,fowl
ˌvɒl.ənˈtɪər	volunteer
ˈsniː.ki	sneaky
kənˈtraɪ.vəns	contrivance
ɪˈmædʒɪn	imagine
mætʃ	match
ˈsɜː.kəs	circus
ˈkɜːrtn	curtain
ˈdʒeli	jelly
ˈɒnɪstli	honestly
kəʊtʃ	coach
tuː	too,two
ˈlɔɪ.əl.ti	loyalty
ɡreɪp	grape
ˈkɑːŋkriːt	concrete
ˈnɪk.l̩	nickel
ˈhʌŋɡri	hungry
ˈkʌstəmə(r)	customer
ˈməʊ.tɪv	motive
ˈbɪtər	bitter
mɪr	mere
skɪm	skim
ˈnɔː.zi.əs	nauseous
ˈmɔːr.t̬əl	mortal
sæk	sack
ˈpɔɪnt.ləs	pointless
wɑːt	what
ˈlɪp.stɪk	lipstick
ˈlefˌt̬oʊ.vɚ	leftover
ɪmˈbreɪs	embrace
dɪˈtɜː.dʒənt	detergent
ˈpɪktʃər	picture
ɡɪlt	guilt
ˈɡræmə(r)	grammar
ˌvaɪəˈleɪ.ʃən	violation
ˈlʌki	lucky
əˈbeɪ	obey
ˈvæn.ɪʃ	vanish
hɝːd	herd
ˈsɔːftwer	software
ˈʃeɪm.ləs	shameless
ˈtreb.l̩	treble
klɪr	clear
ɪnˈtɜːprɪt	interpret
əˈtɒm.ɪk	atomic
ˈbreɪnpaʊər	brainpower
læp	lap
skeɪt	skate
ˈmæɡ.nət	magnet
ˈəʊ.pən.ər	opener
iˈmɜːrdʒənsi	emergency
tʃɑːdʒ	charge
ˈroʊ.lɚ	roller
ˈʃɔː.tɪdʒ	shortage
ˈmæl.ɪs	malice
ˈmɑː.ʃəl	marshal,martial
ˈmæɡ.nɪ.faɪ	magnify
ˈbɒdi	body
ˈhɒb.l̩	hobble
ˈɑːɡjumənt	argument
ˈsəʊ.fə	sofa
ˈsʌp.lɪ.mənt	supplement
əˈpiːz	appease
ˈeəkrɑːft	aircraft
roʊd	road
dæʃ	dash
peər	pear,pare
kəˈmiː.di.ən	comedian
ɪnˈdef.ɪ.nət.li	indefinitely
ɡoʊst	ghost
ɡrænt	grant
bæt	bat
ˈmɒnɪtə(r)	monitor
ˈfaɪə.rɪŋ	firing
pəˈsjuːt	pursuit
kənˈsɜːrvətɪv	conservative
fɑːr	far
ˈsɜːkəmstɑːns	circumstance
ˈhɑː.di	hardy
ˈɜːθ.kweɪk	earthquake
ˈsʌmp.tju.əs	sumptuous
wɜːrs	worse
ˈɪnər	inner
ɪts	its
dɪsˈrep.jʊ.tə.bl̩	disreputable
speə(r)	spare
plʌɡ	plug
ˌdefɪˈnɪʃn	definition
ˈheɪtrɪd	hatred
bruːz	bruise
ˈkɒm.ə	comma
ˌledʒ.ɪˈsleɪ.ʃən	legislation
ɪkˈsept	except
ɡrʌnt	grunt
ʌnˈriːznəbl	unreasonable
ˈprɪn.sɪ.pəl	principal
skwɜːt	squirt
nɑː	gnaw
pɑːrtʃ	parch
sɪˈvɪr	severe
əˈpɒn	upon
baʊt	bout
ˈlɪmɪt	limit
swet	sweat
ˈkɒm.plɪ.mənt	compliment
faɪn	fine
ɪnˈfəʊld	enfold
ˈʃæləʊ	shallow
ˈɪn.təl.ekt	intellect
ˈmʌt̬.ɚ	mutter
ˈrʌs.tɪk	rustic
ˈfɒlt.ləs	faultless
taɪp	type
trəˈdɪʃn	tradition
klaʊn	clown
ˌdɪs.ɪˈluː.ʒən	disillusion
ˈprezɪdənt	president
twɪst	twist
sɪn	sin
ˈspiːkər	speaker
prɪˈzjuːm	presume
ˈfes.tɪv	festive
ˈseɪlər	sailor
əˈluː.mɪ.nəm	aluminium
ˈɑː.mɪ.stɪs	armistice
ˈpeɪ.trən.ɪdʒ	patronage
rəˈneɪ.səns	renaissance
koʊst	coast
ˈkeɪpəbl	capable
bɪˈliːf	belief
rɪˈflek.ʃən	reflection
ˌnʌn.ðəˈles	nonetheless
ˈæn.θəm	anthem
ɡlɒs	gloss
self	self
ɪmˈpɜː.fekt	imperfect
bæsk	bask
ˈsɜː.kjʊ.lər	circular
ˈrep.lɪ.kə	replica
ˈæθ.liːt	athlete
ˈvɪktəri	victory
məˈdʒɒrəti	majority
rɪˈlæksɪŋ	relaxing
ˈsens.ləs	senseless
ˈmʌm.bl̩	mumble
ˈluː.krə.tɪv	lucrative
ɪˈmoʊʃn	emotion
ˈpen.djʊ.ləs	pendulous
təʊn	tone
ˈprɑːfɪt	profit
dʒet	jet
weɪ	way,weigh
ˈɒnə(r)	honour
snɪər	sneer
ˈfæb.jʊ.ləs	fabulous
praɪs	price
bɜːrn	burn
ˈbæs.kɪt.bɑːl	basketball
ˈklɪr.əns	clearance
ˈpæs.wɝːd	password
ˈspəʊks.mən	spokesman
ˈten.tə.tɪv	tentative
bæk	back
kɑːp	carp
ˈɑː.kɪ.tekt	architect
neɪ	neigh
ˈpen.ʃən.ər	pensioner
məˈtjʊə.rɪ.ti	maturity
ˈɒn.ər.ə.ri	honorary
ɪɡˈzekjətɪv	executive
klæp	clap
ˈsɒftli	softly
səbˈmɪʃ.ən	submission
kroʊk	croak
rɪˈklaɪn	recline
ˈkʊkɪŋ	cooking
prəˈvɪʒ.ən.əl	provisional
bliːd	bleed
ˈher.əʊ.ɪn	heroin
ˈwaɪ.li	wily
sliːk	sleek
ɪmˈpjuː.nɪ.ti	impunity
ˈɒk.jʊ.pənt	occupant
ˈnetwɜːk	network
ˈspoʊkən	spoken
ˈsensəbl	sensible
rɪˈmoʊt	remote
ˈtəʊ.neɪl	toenail
ˈməʊmənt	moment
iːz	ease
ˈproʊtest	protest
ledʒ	ledge
ɪɡˈzɪs.tɪŋ	existing
reɪk	rake
hoʊst	host
drʌm	drum
ˈdaɪ.vər	diver
ɡrɑːs	grass
ɡrɪm	grim
ˈdɪk.teɪt	dictate
ˈspiːtʃ.ləs	speechless
sɑːm	psalm
mɔːrɡ	morgue
əˈfɪn.ɪ.ti	affinity
sɝːtʃ	search
əˈnaʊns	announce
ˈdʒʌŋ.ɡl̩	jungle
frɑːst	frost
beɪð	bathe
ˈleɪzinəs	laziness
rɑːt	rot
bædʒ	badge
ˈɑːrɡjumənt	argument
ˈmænər	manner
rɪˈzɜːv	reserve
tɑːnt	taunt
prɑːˈsper.ə.t̬i	prosperity,prosperity
ˈsɜːvɪs	service
brɑːntʃ	branch
ˈplætfɔːrm	platform
ˈdʒeləs	jealous
ˈkær.ɪk.tə.raɪz	characterize
ˈpɔːr.t̬ɚ	porter
ˈwɪt.i	witty
ˈtɜː.ki	turkey
hɔːntʃ	haunch
ˈsʌmhaʊ	somehow
ˈlæd.ər	ladder
ˈvaɪə	via
ɪnˈtækt	intact
ˌɪn.fesˈteɪ.ʃən	infest
hə(r)	her
ˈmembər	member
rɑːd	rod
bʌk	buck
ˌɪm.pəˈtɜː.bə.bl̩	imperturbable
tʃɑːrdʒ	charge
ˈprɒbləm	problem
ɑːm	arm
ˈhɑː.stəl	hostile
ˈded.laɪn	deadline
boʊld	bold
dɪˌskrɪm.ɪˈneɪ.ʃən	discrimination
ˈtiː.spuːn	teaspoon
ˈɔːrdər	order
ˈpeɪn.fəl.i	painfully
rɪˈmembə(r)	remember
dʒʌmp	jump
aɪl	aisle
ɡoʊt	goat
ˈkeələs	careless
boʊlt	bolt
ðiːz	these
ˈmaɪn.fɪəld	minefield
ˈhem.ər.ɪdʒ	haemorrhage
wɔːrn	warn,worn
səˈren.dɚ	surrender
ɪnˈfektɪd	infected
braʊz	browse
ˌæs.pɪˈreɪ.ʃən	aspiration
smel	smell
ˈmjuː.tʃu.əl	mutual
weɪd	wade
mɔɪst	moist
mʌŋk	monk
ɪf	if
bɪˈlɒŋ	belong
ˈkləʊ.ʒər	closure
əˈluː.ʒən	allusion
ˌdʒʌs.tɪ.fɪˈkeɪ.ʃən	justification
ˈres.pɪ.reɪ.tər	respirator
heə(r)	hair
ˈæd.vɜːs	adverse
eɪtθ	eighth
wiːp	weep
hoʊks	hoax
kənˈdem	condemn
ˈɪn.dɪ.keɪ.tɚ	indicator
ˈrəʊ.bɒt	robot
biː	bee
ˈtaʊə(r)	tower
fraɪt	fright
stroʊk	stroke
əˈbʌn.dənt	abundant
ˈsek.sjʊə.li	sexually
kənˈsjuːmə(r)	consumer
ˈnaɪðə(r)	neither
kɑːsk	cask
rɪˈstɔːr	restore
dɪsˈtʃɑːdʒ	discharge
ˈpæt.i.əʊ	patio
ˌkæŋ.ɡərˈuː	kangaroo
ˈkwɑːntəti	quantity
ˈtwɪstɪd	twisted
bloʊn	blown
ˈkæl.ər.i	calorie
ˈɪr.foʊnz	earphones
wɝːl	whirl
kənˈtræk.ʃən	contraction
ˈɡræn.i	granny
ˌpriː.des.tɪˈneɪ.ʃən	predestination
ˈɪə.ləʊb	earlobe
ˈθretn	threaten
sɪv	sieve
kəmˈpækt	compact
miːt	meet,meat
reɪl	rail
ɔːrb	orb
təˈmɔːroʊ	tomorrow
ˈeɪprəl	April
ˈsʌm.ɪt	summit
ˈtrɒpɪkl	tropical
skuːp	scoop
ˈbɒn.ɪt	bonnet
prəˈmoʊt	promote
ˈklɪn.ɪk	clinic
zuː	zoo
ˌiːkəˈnɒmɪk	economic
ˈleʒ.ər	leisure
pərˈfɔːrməns	performance
ˌriː.kənˈsɪd.ər	reconsider
rɪˈməʊt	remote
ˈmænɪdʒ	manage
flʌʃt	flushed
duːn	dune
ˌʌndərˈwɔːtər	underwater
ˈwɔːnɪŋ	warning
ˈlɔɪəl	loyal
fɪst	fist
əˈfɜː.mə.tɪv	affirmative
əˈsɔːt	assort
ˈtʃiː.pən	cheapen
naɪt	night,knight
pɑːmp	pomp
ˈneɪ.vəl	naval,navel
ˈentər	enter
ˈbed.saɪd	bedside
ˈflæt̬.ɚ	flatter
dɪˈɡriː	degree
ˈoʊnər	owner
ˈfluː.ənt	fluent
əˈteɪn	attain
voʊɡ	vogue
ɑːˈθen.t̬ɪk	authentic
ˌjuː.nɪˈvɜː.səl	universal
maʊθ	mouth
wiː	wee
ˈsiː.krə.si	secrecy
ˈsɪl.ɪn.dər	cylinder
dreɪp	drape
ˈbɔːrdər	border
ˈkʌvər	cover
tent	tent
ˈʌltɪmət	ultimate
ˈpaʊdər	powder
ˈmɪs.aɪl	missile
dəʊˈneɪ.ʃən	donation
ˌsuː.pəˈstɪʃ.ən	superstition
ˈfjuːtʃə(r)	future
pəˈveɪ.sɪv	pervasive
ˈdʌtʃ.es	duchess
ˈrʌnə(r)	runner
ˈdɪk.teɪ.t̬ɚ	dictator
əˈmɪd	amid
ˈbær.ɪ.stər	barrister
həʊks	hoax
ˈtʃɪə.ri	cheery
ˈsentɪmiːtə(r)	centimetre
dɪˈstræk.ʃən	distraction,distraction
səˈvaɪ.vər	survivor
kənˈvɜːt	convert
ˈlaɪ.kli.hʊd	likelihood
ˌɒfˈset	offset
ɑːd	odd
biːst	beast
frɑːd	fraud
səˈpəʊ.zɪd.li	supposedly
æŋˈzaɪəti	anxiety
ˈpəʊl.tri	poultry
maɪt	might
ʌnˈsteɪ.bl̩	unstable
twɪtʃ	twitch
ˌəʊ.vəˈweɪt	overweight
ˈfɜːrmli	firmly
ˈθiː.sɪs	thesis
ɪkˈsel	excel
ˌrek.tɪ.fɪˈkeɪ.ʃən	rectify
beɪn	bane
bɪɡ	big
ləʊˈkeɪʃn	location
ˈmen.ɪs	menace
ˈseprət	separate
ɪˌlekˈtrɪsəti	electricity
ˈpeɪ.bæk	payback
ˈlʌɡɪdʒ	luggage
pəˈsɪst	persist
ˈsiː.dər	cedar
ˈheɪt.fəl	hateful
ˈtɒn.ɪk	tonic
ˈsɜːfɪs	surface
əˈraɪz	arise
əˈdʒeɪ.sənt	adjacent
əˈsaɪd	aside
ˈlʌm.bər	lumber
ˈwɔːlˌpeɪ.pər	wallpaper
ˈɡriː.di	greedy
ˈkʌlərd	coloured
kraɪ	cry
ˈhɒlədeɪ	holiday
ɪmˈpɑːsəbl	impossible
ɪˈnɪʃl	initial
ˈkæm.əl	camel
laɪˈbreə.ri.ən	librarian
ˈkləʊs.nəs	closeness
bɑːr	bar
ˈdekeɪd	decade
ˈpiː.nʌt	peanut
kəmˈpæʃ.ən	compassion
mɪdst	midst
hʌmp	hump
ˈpen.djʊ.ləm	pendulum
pəˈzɪʃn	position
ˈʃer.i	sherry
ˈnʌθɪŋ	nothing
ʃɪr	sheer,shear
kənˈsɜːvətɪv	conservative
ˈɒf.sprɪŋ	offspring
ˌsuː.pə.rɪnˈten.dənt	superintendent
ˈɒfɪs	office
dɪˈnaɪ	deny
ɪnˈθuːziæzəm	enthusiasm
ˈdes.tɪnd	destined
ɪˈnɒk.jʊ.leɪt	inoculate
ˈɡæb.l̩	gabble
ˈklɑːzət	closet
nuːd	nude
bləʊn	blown
ˈbeɪlɪ	bailey
rɪˈmɔːs	remorse
ˌdɪsəˈpɪr	disappear
bɔːd	board,bored
ˈbæriər	barrier
ˌθɜːrˈtiːn	thirteen
ˈhel.ɪˌkɒp.tər	helicopter
ˈprɒbəbl	probable
əkˈsel.ə.reɪt	accelerate
ˈstɜː.rɪŋ	stirring
hɪər	hear
skaʊl	scowl
ˈsaɪdweɪ	sideway
ˌblæsˈfiːm	blaspheme
ˈlɒdʒɪk	logic
dʌk	duck
ˈɡɑː.des	goddess
ˈsen.tɪ.ɡreɪd	centigrade
wɔːf	wharf
tɔːnt	taunt
ˈdeɪndʒə(r)	danger
ˈdɪɡ.nɪ.ti	dignity
rɪˈfreʃ.mənt	refreshment
nʌl	null
ˈpæt.i	patty
ˈræv.ən.əs	ravenous
lʌv	love
ˈæɡ.rɪ.kʌl.tʃər	agriculture
bɪˈlʌv.ɪd	beloved
ˈplʌm.ər	plumber
ˈmem.ə.raɪz	memorize
laɪ	lie
pɪɡ	pig
ˈwaɪər	wire
ˈkaʊn.səl.ər	counsellor
praɪ	pry
nɔːm	norm
əˈtjuːn	attune
əˈpɑːtmənt	apartment
ˈθiːətər	theatre
ˈmɔː.rɒn	moron
ˌpriːˈɒk.jʊ.paɪ	preoccupy
dɪˈfɜːr	defer
rɪˈfjuːzl	refusal
ˈstrɪk.ən	stricken
hoʊp	hope
fʊl	full
ˈpɜːpəs	purpose
ˈtæl.ən.tɪd	talented
ˈbrɔːdkɑːst	broadcast
kəmˈpleɪnt	complaint
ˈkwɒr.əl	quarrel
ˈhætʃ.ɪt	hatchet
deɪ	day
fɜːn	fern
ˈeɪ.kɔːn	acorn
ˈsɪr.əp	syrup
ˈθɪətə(r)	theatre
wʊl	wool
ˈɡreɪ.tər	greater
əˈɡreə.ri.ən	agrarian
ˈbær.əks	barracks
ˈmɑːr.t̬ɚ	martyr
ˈpreʃə(r)	pressure
djuːn	dune
ˈmɪliɡræm	milligram
ˈnætʃrəli	naturally
ˈpleɪ.bɔɪ	playboy
məʊn	moan
ɪnˈdjʊə.rəns	endurance
moʊst	most
poʊst	post
pɔːrk	pork
ˈləʊ.ʃən	lotion
twɪɡ	twig
fɔːl	fall
ˈbɑːðər	bother
peɪl	pale,pail
ˈaɪ.vər.i	ivory
pælˈpeɪt	palpate
leɪt	late
səˈfɪʃnt	sufficient
ɪmˈpaʊər	empower
rɪˈmɑː.kə.bli	remarkably
ˈnet.l̩	nettle
dæft	daft
ʌn.fəˈmɪl.i.ər	unfamiliar
ɡreɪs	grace
ˈpʌz.l̩	puzzle
ˈhəʊmˌkʌm.ɪŋ	homecoming
ˌkɒn.stɪˈtjuː.ʃən.əl	constitutional
dɪˈpɔːt	deport
dɪˈspætʃ	dispatch
əˈreɪnmənt	arraignment
hɔːl	hall,haul
rəʊz	rose
ˈɡræt.ɪ.tjuːd	gratitude
əˈkɔːd	accord
ˈswelɪŋ	swelling
hɑːt	heart,hot
ˌʌndəˈniːθ	underneath
ˈvæn.ɪ.ti	vanity
ˈdep.əʊ	depot
ɪmˈpɔːtnt	important
ˈtʃer.i	cherry
ˈfoʊtoʊkɑːpi	photocopy
ˈraɪvl	rival
ˈmɒt.əʊ	motto
mɪˈsteɪk	mistake
ˈletər	letter
ˈhɒrə(r)	horror
ˈsɜː.dʒɪ.kəl	surgical
ˈsæn.ɪ.ti	sanity
ˌkɒnsnˈtreɪʃn	concentration
wɪtʃ	which,witch
ˌriːˈbaʊnd	rebound
səˈsaɪəti	society
ˈferli	fairly
ɪˈreɪz	erase
ˌrep.rɪ.zenˈteɪ.ʃən	representation
ˈpɒm.pəs	pompous
ɪnˈdel.ɪ.kət	indelicate
ʃaɪ	shy
ˌmænjuˈfæktʃərə(r)	manufacturer
ˈsteɪtmənt	statement
ˈkemɪkl	chemical
